Name,Team,Base Salary,Signing Bonus,Other Bonus,Total Salary,Cap Value,Percentage,Rating,Sqrt(rating)
"   Kyle, Jason ",Panthers ,"$830,000 ","$400,000 ","$1,560 ","$831,560 ","$911,560 ",0.187599211,0.56,0.7483
"   LaRocque, Joey ",Bears ,"$295,000 ",$0 ,$0 ,"$295,000 ","$260,294 ",0,1.12,1.0583
"   Larsen, Spencer ",Broncos ,"$295,000 ","$97,525 ",$0 ,"$392,525 ","$319,381 ",0,3.62,1.9026
"   Laury, Lance ",Seahawks ,"$445,000 ",$0 ,"$4,200 ","$449,200 ","$449,200 ",0.934995548,1.94,1.3928
"   Lawson, Manny ",49ers ,"$637,500 ",$0 ,"$755,000 ","$1,392,500 ","$1,690,000 ",54.21903052,8.50,2.9155
"   Leber, Ben ",Vikings ,"$2,450,000 ","$3,000,000 ","$600,000 ","$3,050,000 ","$3,600,000 ",19.67213115,13.88,3.7256
"   Lenon, Paris ",Lions ,"$1,050,000 ","$1,800,000 ","$150,000 ","$1,200,000 ","$1,800,000 ",12.5,19.19,4.3806
"   Lewis, Alex ",Lions ,"$1,000,000 ","$1,350,000 ","$6,240 ","$1,006,240 ","$1,456,240 ",0.620130386,7.31,2.7037
"   Lewis, D.D. (DeAndre DeWayne) ",Seahawks ,"$605,000 ","$40,000 ","$2,880 ","$647,880 ","$487,880 ",0.444526764,6.44,2.5377
"   Lewis, Ray  ", Ravens  ,"$6,500,000 ","$10,000,000 ",$240 ,"$6,500,240 ","$9,428,814 ",0.003692171,19.00,4.3589
"   Lofton, Curtis ",Falcons ,"$295,000 ","$1,640,000 ","$1,035,000 ","$2,970,000 ","$800,000 ",34.84848485,12.69,3.5623
"   Mayo, Jerod ",Patriots ,"$295,000 ",$0 ,"$1,505,000 ","$1,800,000 ","$1,800,000 ",83.61111111,16.88,4.1085
"   Mays, Corey ",Bengals ,"$445,000 ",$0 ,"$5,640 ","$450,640 ","$450,640 ",1.251553346,3.38,1.8385
"   Mays, Joe ",Eagles ,"$295,000 ","$76,295 ",$0 ,"$371,295 ","$314,073 ",0,0.00,0.0000
"   McClain, Jameel ",Ravens ,"$295,000 ","$3,000 ",$0 ,"$298,000 ","$298,000 ",0,2.81,1.6763
"   McClover, Darrell ",Bears ,"$520,000 ","$75,000 ","$4,800 ","$524,800 ","$562,300 ",0.914634146,0.75,0.8660
"   McCoy, Matt ",Buccaneers ,"$520,000 ","$100,000 ","$130,760 ","$750,760 ","$625,760 ",17.41701742,1.44,1.2000
"   McIntosh, Rocky ",Redskins ,"$445,000 ","$1,820,000 ","$1,165,000 ","$1,610,000 ","$1,520,000 ",72.36024845,12.06,3.4728
"   Merriman, Shawne ",Chargers ,"$1,050,000 ",$0 ,"$1,080 ","$1,051,080 ","$2,638,580 ",0.102751456,0.25,0.5000
"   Mitchell, Kawika ",Bills ,"$1,500,000 ",$0 ,"$2,503,240 ","$4,003,240 ","$4,003,240 ",62.53035042,11.94,3.4554
"   Mitchell, Marvin ",Saints ,"$370,000 ",$0 ,"$5,520 ","$375,520 ","$375,520 ",1.469961653,2.38,1.5427
"   Morrison, Kirk ",Raiders ,"$1,710,000 ","$888,000 ","$405,400 ","$2,115,400 ","$1,893,000 ",19.16422426,18.69,4.3232
"   Nece, Ryan ",Lions ,"$605,000 ","$40,000 ",$0 ,"$645,000 ","$485,000 ",0,9.69,3.1129
